rep,group,segment,index,rmsf_nm
rep1,Protein,1,1,0.0424
rep1,Protein,1,2,0.0321
rep1,Protein,1,3,0.0252
rep1,Protein,1,4,0.0267
rep1,Protein,1,5,0.0312
rep1,Protein,1,6,0.0225
rep1,Protein,1,7,0.0327
rep1,Protein,1,8,0.0325
rep1,Protein,1,9,0.0218
rep1,Protein,1,10,0.0335
rep1,Protein,1,11,0.031
rep1,Protein,1,12,0.0208
rep1,Protein,1,13,0.0273
rep1,Protein,1,14,0.0349
rep1,Protein,1,15,0.0213
rep1,Protein,1,16,0.0279
rep1,Protein,1,17,0.0274
rep1,Protein,1,18,0.0203
rep1,Protein,1,19,0.0295
rep1,Protein,1,20,0.0271
rep1,Protein,1,21,0.0216
rep1,Protein,1,22,0.0306
rep1,Protein,1,23,0.0294
rep1,Protein,1,24,0.022
rep1,Protein,1,25,0.0249
rep1,Protein,1,26,0.0309
rep1,Protein,1,27,0.037
rep1,Protein,2,1,0.0406
rep1,Protein,2,2,0.0337
rep1,Protein,2,3,0.0237
rep1,Protein,2,4,0.0324
rep1,Protein,2,5,0.029
rep1,Protein,2,6,0.0227
rep1,Protein,2,7,0.0317
rep1,Protein,2,8,0.0301
rep1,Protein,2,9,0.0216
rep1,Protein,2,10,0.0348
rep1,Protein,2,11,0.0309
rep1,Protein,2,12,0.0218
rep1,Protein,2,13,0.0296
rep1,Protein,2,14,0.0374
rep1,Protein,2,15,0.021
rep1,Protein,2,16,0.0277
rep1,Protein,2,17,0.0283
rep1,Protein,2,18,0.0206
rep1,Protein,2,19,0.0259
rep1,Protein,2,20,0.0298
rep1,Protein,2,21,0.023
rep1,Protein,2,22,0.0306
rep1,Protein,2,23,0.0269
rep1,Protein,2,24,0.022
rep1,Protein,2,25,0.0269
rep1,Protein,2,26,0.032
rep1,Protein,2,27,0.0369
rep1,Protein,3,1,0.034
rep1,Protein,3,2,0.0289
rep1,Protein,3,3,0.0222
rep1,Protein,3,4,0.0275
rep1,Protein,3,5,0.0303
rep1,Protein,3,6,0.0232
rep1,Protein,3,7,0.0323
rep1,Protein,3,8,0.029
rep1,Protein,3,9,0.0203
rep1,Protein,3,10,0.0384
rep1,Protein,3,11,0.0336
rep1,Protein,3,12,0.0215
rep1,Protein,3,13,0.0295
rep1,Protein,3,14,0.0347
rep1,Protein,3,15,0.0208
rep1,Protein,3,16,0.0295
rep1,Protein,3,17,0.0281
rep1,Protein,3,18,0.0204
rep1,Protein,3,19,0.0248
rep1,Protein,3,20,0.0308
rep1,Protein,3,21,0.0224
rep1,Protein,3,22,0.0264
rep1,Protein,3,23,0.0296
rep1,Protein,3,24,0.0239
rep1,Protein,3,25,0.0331
rep1,Protein,3,26,0.0331
rep1,Protein,3,27,0.0555
