rep,group,segment,index,rmsf_nm
rep1,LYS1,1,1084,0.0296
rep1,LYS1,1,1085,0.0758
rep1,LYS1,1,1086,0.1226
rep1,LYS1,1,1087,0.0423
rep1,LYS1,1,1088,0.103
rep1,LYS1,1,1089,0.1111
rep1,LYS1,1,1090,0.1038
rep1,LYS1,1,1091,0.0787
rep1,LYS1,1,1092,0.0862
rep1,LYS1,1,1093,0.0537
rep1,LYS1,1,1094,0.0923
rep1,LYS1,1,1095,0.1876
rep1,LYS1,1,1096,0.181
rep1,LYS1,1,1097,0.1554
rep1,LYS1,1,1098,0.1153
rep1,LYS1,1,1099,0.1629
rep1,LYS1,1,1100,0.16
rep1,LYS1,1,1101,0.1314
rep1,LYS1,1,1102,0.119
rep1,LYS1,1,1103,0.1302
rep1,LYS1,1,1104,0.1332
rep1,LYS1,1,1105,0.1322
rep1,LYS1,1,1106,0.1582
rep1,LYS1,1,1107,0.1574
rep1,LYS1,1,1108,0.1659
