rep,group,segment,index,rmsf_nm
rep2,Protein,1,1,0.0411
rep2,Protein,1,2,0.0323
rep2,Protein,1,3,0.0245
rep2,Protein,1,4,0.0266
rep2,Protein,1,5,0.0295
rep2,Protein,1,6,0.0229
rep2,Protein,1,7,0.034
rep2,Protein,1,8,0.028
rep2,Protein,1,9,0.0227
rep2,Protein,1,10,0.0338
rep2,Protein,1,11,0.0284
rep2,Protein,1,12,0.021
rep2,Protein,1,13,0.0302
rep2,Protein,1,14,0.0351
rep2,Protein,1,15,0.0215
rep2,Protein,1,16,0.0309
rep2,Protein,1,17,0.0272
rep2,Protein,1,18,0.0209
rep2,Protein,1,19,0.0283
rep2,Protein,1,20,0.0265
rep2,Protein,1,21,0.0208
rep2,Protein,1,22,0.026
rep2,Protein,1,23,0.0325
rep2,Protein,1,24,0.0221
rep2,Protein,1,25,0.0249
rep2,Protein,1,26,0.0309
rep2,Protein,1,27,0.0358
rep2,Protein,2,1,0.0417
rep2,Protein,2,2,0.0347
rep2,Protein,2,3,0.0232
rep2,Protein,2,4,0.0264
rep2,Protein,2,5,0.0301
rep2,Protein,2,6,0.0226
rep2,Protein,2,7,0.0324
rep2,Protein,2,8,0.0291
rep2,Protein,2,9,0.0214
rep2,Protein,2,10,0.0332
rep2,Protein,2,11,0.0301
rep2,Protein,2,12,0.0214
rep2,Protein,2,13,0.026
rep2,Protein,2,14,0.0351
rep2,Protein,2,15,0.0213
rep2,Protein,2,16,0.03
rep2,Protein,2,17,0.0276
rep2,Protein,2,18,0.0203
rep2,Protein,2,19,0.0254
rep2,Protein,2,20,0.0295
rep2,Protein,2,21,0.0224
rep2,Protein,2,22,0.0313
rep2,Protein,2,23,0.0281
rep2,Protein,2,24,0.0225
rep2,Protein,2,25,0.0261
rep2,Protein,2,26,0.0288
rep2,Protein,2,27,0.0411
rep2,Protein,3,1,0.0406
rep2,Protein,3,2,0.0303
rep2,Protein,3,3,0.0231
rep2,Protein,3,4,0.0252
rep2,Protein,3,5,0.0292
rep2,Protein,3,6,0.0234
rep2,Protein,3,7,0.0328
rep2,Protein,3,8,0.0284
rep2,Protein,3,9,0.0206
rep2,Protein,3,10,0.0376
rep2,Protein,3,11,0.0342
rep2,Protein,3,12,0.0213
rep2,Protein,3,13,0.0293
rep2,Protein,3,14,0.0345
rep2,Protein,3,15,0.021
rep2,Protein,3,16,0.027
rep2,Protein,3,17,0.0301
rep2,Protein,3,18,0.0202
rep2,Protein,3,19,0.0241
rep2,Protein,3,20,0.032
rep2,Protein,3,21,0.0225
rep2,Protein,3,22,0.03
rep2,Protein,3,23,0.0333
rep2,Protein,3,24,0.0237
rep2,Protein,3,25,0.0274
rep2,Protein,3,26,0.032
rep2,Protein,3,27,0.0497
