rep,group,segment,index,rmsf_nm
rep2,LYS1,1,1084,0.039
rep2,LYS1,1,1085,0.0665
rep2,LYS1,1,1086,0.1302
rep2,LYS1,1,1087,0.0381
rep2,LYS1,1,1088,0.1147
rep2,LYS1,1,1089,0.1125
rep2,LYS1,1,1090,0.0981
rep2,LYS1,1,1091,0.089
rep2,LYS1,1,1092,0.0883
rep2,LYS1,1,1093,0.0707
rep2,LYS1,1,1094,0.0796
rep2,LYS1,1,1095,0.1767
rep2,LYS1,1,1096,0.1818
rep2,LYS1,1,1097,0.1642
rep2,LYS1,1,1098,0.1638
rep2,LYS1,1,1099,0.173
rep2,LYS1,1,1100,0.1688
rep2,LYS1,1,1101,0.1534
rep2,LYS1,1,1102,0.1564
rep2,LYS1,1,1103,0.1253
rep2,LYS1,1,1104,0.1242
rep2,LYS1,1,1105,0.123
rep2,LYS1,1,1106,0.1745
rep2,LYS1,1,1107,0.1728
rep2,LYS1,1,1108,0.1732
